Priority,Selected?,Region,Make,Model Family,Generation / Platform,Production Years,Body Style,Facelift / Visual Phase,Proposed VISUAL_FAMILY_ID,Variants that share this visual,China catalog?,Confidence,Hero Source Status,Candidate Hero URL,Hero License,Attribution Status,Notes
P0,Review,Southern Africa/China export,OMODA,C5,Current,2022–present,Crossover,C5/C5 X/SHS visual check,VF-OMODA-C5-CURRENT-CROSSOVER-C5-C5-X-SHS-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,OMODA,C7,Current,2024–present,SUV,Current,VF-OMODA-C7-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,OMODA,C9,Current,2023–present,SUV,Current,VF-OMODA-C9-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,JAECOO,J7,Current,2023–present,SUV,ICE/SHS visual check,VF-JAECOO-J7-CURRENT-SUV-ICE-SHS-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,JAECOO,J5,Current,2025–present,SUV,ICE/SHS/EV visual check,VF-JAECOO-J5-CURRENT-SUV-ICE-SHS-EV-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Jetour,Dashing,Current,2022–present,SUV,Current,VF-JETOUR-DASHING-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Jetour,X70 Plus,Current,2020–present,SUV,Current/facelift,VF-JETOUR-X70-PLUS-CURRENT-SUV-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Jetour,T1,Current,2024–present,SUV,ICE/i-DM visual check,VF-JETOUR-T1-CURRENT-SUV-ICE-I-DM-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Jetour,T2,Current,2023–present,SUV,ICE/i-DM visual check,VF-JETOUR-T2-CURRENT-SUV-ICE-I-DM-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,Geely,EX5 / Galaxy E5,Current,2024–present,Crossover,Current,VF-GEELY-EX5-GALAXY-E5-CURRENT-CROSSOVER-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Geely,Coolray / Binyue,Current export family,2018–present,Crossover,Major facelift,VF-GEELY-COOLRAY-BINYUE-CURRENT-EXPORT-FAMILY-CROSSOVER-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Geely,Emgrand,Current,2021–present,Sedan,Current,VF-GEELY-EMGRAND-CURRENT-SEDAN-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Geely,Starray / Boyue L,Current,2022–present,SUV,Current,VF-GEELY-STARRAY-BOYUE-L-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,BAIC,X55 Plus,Current,2022–present,Crossover,Current,VF-BAIC-X55-PLUS-CURRENT-CROSSOVER-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,BAIC,B40 Plus,Current regional family,2019–present,SUV,Current/facelift,VF-BAIC-B40-PLUS-CURRENT-REGIONAL-FAMILY-SUV-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,BAIC,B30,Current,2024–present,SUV,Current,VF-BAIC-B30-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P0,Review,Southern Africa/China export,JAC,T9,Current,2022–present,Pickup,Current,VF-JAC-T9-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,JAC,T8,Current,2018–present,Pickup,Current/facelift,VF-JAC-T8-CURRENT-PICKUP-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,JAC,T6,Current regional family,2015–present,Pickup,Current/facelift,VF-JAC-T6-CURRENT-REGIONAL-FAMILY-PICKUP-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Changan,CS35 Plus,Current,2018–present,Crossover,Major facelift,VF-CHANGAN-CS35-PLUS-CURRENT-CROSSOVER-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Changan,CS55 Plus,Current,2019–present,SUV,Major facelift,VF-CHANGAN-CS55-PLUS-CURRENT-SUV-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Changan,UNI-T,Current,2020–present,Crossover,Current,VF-CHANGAN-UNI-T-CURRENT-CROSSOVER-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Deepal,S05,Current,2024–present,SUV,EV/EREV exterior check,VF-DEEPAL-S05-CURRENT-SUV-EV-EREV-EXTERIOR-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Deepal,S07,Current,2023–present,SUV,EV/EREV exterior check,VF-DEEPAL-S07-CURRENT-SUV-EV-EREV-EXTERIOR-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Dongfeng,Box / Nammi 01,Current,2023–present,Hatchback,Current,VF-DONGFENG-BOX-NAMMI-01-CURRENT-HATCHBACK-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Dongfeng,Mage,Current,2022–present,SUV,Current,VF-DONGFENG-MAGE-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,DFSK,Glory 500,Current export family,2019–present,SUV,Current,VF-DFSK-GLORY-500-CURRENT-EXPORT-FAMILY-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,DFSK,Glory 580,Current export family,2016–present,SUV,Major facelift,VF-DFSK-GLORY-580-CURRENT-EXPORT-FAMILY-SUV-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Foton,Tunland G7,Current,2019–present,Pickup,Current,VF-FOTON-TUNLAND-G7-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Foton,Tunland V7/V9,Current,2024–present,Pickup,V7 vs V9 visual check,VF-FOTON-TUNLAND-V7-V9-CURRENT-PICKUP-V7-VS-V9-VISUAL-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Maxus,T90,Current,2021–present,Pickup,Current,VF-MAXUS-T90-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,GAC,GS3 Emzoom,Current,2023–present,Crossover,Current,VF-GAC-GS3-EMZOOM-CURRENT-CROSSOVER-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,GAC,Emkoo,Current,2022–present,SUV,Current,VF-GAC-EMKOO-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Aion,Y,Current,2021–present,Crossover/MPV,Current,VF-AION-Y-CURRENT-CROSSOVER-MPV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Wuling,Bingo / Binguo,Current,2023–present,Hatchback,Current,VF-WULING-BINGO-BINGUO-CURRENT-HATCHBACK-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Bestune,T77,Current,2018–present,SUV,Current/facelift,VF-BESTUNE-T77-CURRENT-SUV-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Hongqi,HS5,Current,2019–present,SUV,Pre-facelift/facelift,VF-HONGQI-HS5-CURRENT-SUV-PRE-FACELIFT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Zeekr,X,Current,2023–present,Crossover,Current,VF-ZEEKR-X-CURRENT-CROSSOVER-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Zeekr,001,Current,2021–present,Shooting brake,Pre-facelift/facelift,VF-ZEEKR-001-CURRENT-SHOOTING-BRAKE-PRE-FACELIFT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Lynk & Co,01,Current,2017–present,SUV,Major facelift,VF-LYNK-CO-01-CURRENT-SUV-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Leapmotor,C10,Current,2024–present,SUV,EV/EREV exterior check,VF-LEAPMOTOR-C10-CURRENT-SUV-EV-EREV-EXTERIOR-CHECK,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,NIO,ES6 / EL6,Current,2023–present,SUV,Current,VF-NIO-ES6-EL6-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,XPeng,G6,Current,2023–present,SUV,Current,VF-XPENG-G6-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Li Auto,L7,Current,2023–present,SUV,Current,VF-LI-AUTO-L7-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Xiaomi,SU7,Current,2024–present,Sedan,Current,VF-XIAOMI-SU7-CURRENT-SEDAN-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Xiaomi,YU7,Current,2025–present,SUV,Current,VF-XIAOMI-YU7-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Radar/Riddara,RD6,Current,2022–present,Pickup,Current,VF-RADAR-RIDDARA-RD6-CURRENT-PICKUP-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Exeed,RX,Current,2023–present,SUV,Current,VF-EXEED-RX-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Denza,D9,Current,2022–present,MPV,Current,VF-DENZA-D9-CURRENT-MPV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Fangchengbao,Bao 5,Current,2023–present,SUV,Current,VF-FANGCHENGBAO-BAO-5-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Yangwang,U8,Current,2023–present,SUV,Current,VF-YANGWANG-U8-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Avatr,11,Current,2022–present,SUV,Current,VF-AVATR-11-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Voyah,Free,Current,2021–present,SUV,Current/facelift,VF-VOYAH-FREE-CURRENT-SUV-CURRENT-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,IM Motors,LS6,Current,2023–present,SUV,Current,VF-IM-MOTORS-LS6-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Neta,V / Aya,Current,2020–present,Crossover,Major facelift,VF-NETA-V-AYA-CURRENT-CROSSOVER-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Baojun,Yep / Yep Plus,Current,2023–present,Mini SUV,Body length split,VF-BAOJUN-YEP-YEP-PLUS-CURRENT-MINI-SUV-BODY-LENGTH-SPLIT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,MG,ZS,Current two generations,2017–present,Crossover,Generation/facelift,VF-MG-ZS-CURRENT-TWO-GENERATIONS-CROSSOVER-GENERATION-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,MG,HS,Current two generations,2018–present,SUV,Generation/facelift,VF-MG-HS-CURRENT-TWO-GENERATIONS-SUV-GENERATION-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P1,Review,Southern Africa/China export,Roewe,RX5,Current generations,2016–present,SUV,Generation split,VF-ROEWE-RX5-CURRENT-GENERATIONS-SUV-GENERATION-SPLIT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Rising Auto,R7,Current,2022–present,SUV,Current,VF-RISING-AUTO-R7-CURRENT-SUV-CURRENT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
P2,Review,China/export,Venucia,D60,Current,2017–present,Sedan,Major facelift,VF-VENUCIA-D60-CURRENT-SEDAN-MAJOR-FACELIFT,All exact sales versions/powertrains share only while exterior body/fascia remains materially the same.,Yes,Medium,SOURCE_REQUIRED,,UNVERIFIED,UNVERIFIED,Resolve manufacturer/modelDesign/salesName using TecAlliance ChinaID.
